,address_number_primary,address_dir_primary,address_road_primary,address_sfx_primary,address,loc
0,400,,06TH,AVE,"400 06TH AVE, San Diego, CA, USA",
1,5000,,UNIVERSITY,AVE,"5000 UNIVERSITY AVE, San Diego, CA, USA","University Avenue, Hillcrest, San Diego, San Diego County, California, 92103-3609, United States"
2,800,,SAWTELLE,AVE,"800 SAWTELLE AVE, San Diego, CA, USA","Sawtelle Avenue, Lomita, San Diego, San Diego County, California, 91945, United States"
3,5000,,UNIVERSITY,AVE,"5000 UNIVERSITY AVE, San Diego, CA, USA","University Avenue, Hillcrest, San Diego, San Diego County, California, 92103-3609, United States"
4,5200,,CLAIREMONT MESA,BLV,"5200 CLAIREMONT MESA BLV, San Diego, CA, USA","Clairemont Mesa Boulevard, San Diego, San Diego County, California, 92124, United States"
5,0,,CLEVELAND,,"0 CLEVELAND, San Diego, CA, USA",
6,4300,,MANZANITA,DR,"4300 MANZANITA DR, San Diego, CA, USA","Manzanita Drive, Fox Canyon, City Heights, San Diego, San Diego County, California, 92105, United States"
7,3800,,DALBERGIA,CT,"3800 DALBERGIA CT, San Diego, CA, USA","Dalbergia Court, National City, San Diego County, California, 92136, United States"
8,4000,,LOGAN,AVE,"4000 LOGAN AVE, San Diego, CA, USA","Logan Avenue, South Crest, San Diego, San Diego County, California, 92102-4810, United States"
9,0,S,37TH,ST,"0 S 37TH ST, San Diego, CA, USA","South 37th Street, Mountain View, San Diego, San Diego County, California, 92113, United States"
